VARIABLES="time" "temp" "u" "rho" "H2" "O2" "H2O" "H" "O" "OH" "HO2" "H2O2" "N2"
ZONE I=200 F=POINT
0.00000000000000 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00001558441558 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00003116883116 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00004675324675 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00006233766233 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00007792207792 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00009350649350 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00010909090909 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00012467532467 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00014025974026 1100.0 61.0 31.07398348165563 0.006387359751229146 0.15968399378072867 0.08024010102998388 0.0 0.0 0.0 0.0 0.0 0.7536885454380582
0.00015584415584 1100.0 61.0 31.071671775628364 0.0064670840245837045 0.15967118125212865 0.08023366282309179 0.0 0.0 0.0 0.0 0.0 0.7536280719001958
0.00017142857142 1100.0 61.0 31.02551543348011 0.008058887132363869 0.15941536176346024 0.08010511530163902 0.0 0.0 0.0 0.0 0.0 0.7524206358025368
0.00018701298701 1100.0 61.0 30.97950675485075 0.009645597738500076 0.15916036069332629 0.0799769790298321 0.0 0.0 0.0 0.0 0.0 0.7512170625383415
0.00020259740259 1100.0 61.0 30.93364503226354 0.011227240241885376 0.15890617412056823 0.07984925203731602 0.0 0.0 0.0 0.0 0.0 0.7500173336002305
0.00021818181818 1100.0 61.0 30.88792956275405 0.01280383888579663 0.1586527981490367 0.07972193236630266 0.0 0.0 0.0 0.0 0.0 0.748821430598864
0.00023376623376 1100.0 61.0 30.842359647834208 0.014375417759133204 0.15840022890739244 0.0795950180714709 0.0 0.0 0.0 0.0 0.0 0.7476293352620036
0.00024935064935 1100.0 61.0 30.79693459345673 0.015942000797643793 0.158148462548909 0.0794685072198673 0.0 0.0 0.0 0.0 0.0 0.7464410294335798
0.00026493506493 1100.0 61.0 30.751653709979916 0.017503611785141638 0.15789749525127772 0.07934239789080826 0.0 0.0 0.0 0.0 0.0 0.7452564950727724
0.00028051948051 1100.0 61.0 30.706516312132713 0.019060274354708147 0.157647323216414 0.07921668817578255 0.0 0.0 0.0 0.0 0.0 0.7440757142530952
0.00029610389610 1100.0 61.0 30.661521718980154 0.02061201198988507 0.15739794267026588 0.07909137617835522 0.0 0.0 0.0 0.0 0.0 0.7428986691614938
0.00031168831168 1100.0 61.0 30.616669253889125 0.022158848025855455 0.15714934986262422 0.0789664600140721 0.0 0.0 0.0 0.0 0.0 0.7417253420974482
0.00032727272727 1100.0 61.0 30.571958244494454 0.023700805650613343 0.15690154106693463 0.07884193781036548 0.0 0.0 0.0 0.0 0.0 0.7405557154720865
0.00034285714285 1100.0 61.0 30.52738802266528 0.025237907906122473 0.15665451258011143 0.07871780770646043 0.0 0.0 0.0 0.0 0.0 0.7393897718073056
0.00035844155844 1100.0 61.0 30.482957924471815 0.026770177689464037 0.156408260722353 0.07859406785328209 0.0 0.0 0.0 0.0 0.0 0.7382274937349008
0.00037402597402 1100.0 61.0 30.43866729015233 0.02829763775397361 0.1561627818369592 0.07847071641336399 0.0 0.0 0.0 0.0 0.0 0.7370688639957031
0.00038961038961 1100.0 61.0 30.394515464080573 0.029820310710367434 0.1559180722901503 0.07834775156075698 0.0 0.0 0.0 0.0 0.0 0.7359138654387253
0.00040519480519 1100.0 61.0 30.350501794733315 0.03133821902785809 0.15567412847088768 0.07822517148093913 0.0 0.0 0.0 0.0 0.0 0.734762481020315
0.00042077922077 1100.0 61.0 30.30662563465838 0.03285138503525972 0.15543094679069627 0.07810297437072661 0.0 0.0 0.0 0.0 0.0 0.7336146938033175
0.00043636363636 1100.0 61.0 30.262886340442886 0.03435983092208292 0.15518852368348848 0.07798115843818508 0.0 0.0 0.0 0.0 0.0 0.7324704869562435
0.00045194805194 1100.0 61.0 30.21928327268176 0.035863578739619414 0.15494685560538998 0.07785972190254223 0.0 0.0 0.0 0.0 0.0 0.7313298437524484
0.00046753246753 1100.0 61.0 30.17581579594663 0.037362650402016535 0.15470593903456703 0.077738662994101 0.0 0.0 0.0 0.0 0.0 0.7301927475693154
0.00048311688311 1100.0 61.0 30.132483278754894 0.038857067687341824 0.15446577047105522 0.07761797995415352 0.0 0.0 0.0 0.0 0.0 0.7290591818874493
0.00049870129870 1100.0 61.0 30.089285093539214 0.04034685223863763 0.15422634643659028 0.07749767103489606 0.0 0.0 0.0 0.0 0.0 0.727929130289876
0.00051428571428 1100.0 61.0 30.04622061661715 0.04183202556496591 0.15398766347443985 0.07737773449934456 0.0 0.0 0.0 0.0 0.0 0.7268025764612497
0.00052987012987 1100.0 61.0 30.003289228161197 0.04331260904244341 0.15374971814923727 0.0772581686212511 0.0 0.0 0.0 0.0 0.0 0.7256795041870683
0.00054545454545 1100.0 61.0 29.960490312169018 0.044788623915267264 0.15351250704681685 0.077138971685021 0.0 0.0 0.0 0.0 0.0 0.7245598973528948
0.00056103896103 1100.0 61.0 29.917823256434005 0.04626009129673099 0.15327602677405042 0.07702014198563088 0.0 0.0 0.0 0.0 0.0 0.7234437399435877
0.00057662337662 1100.0 61.0 29.87528745251604 0.04772703217023129 0.1530402739586856 0.07690167782854729 0.0 0.0 0.0 0.0 0.0 0.7223310160425357
0.00059220779220 1100.0 61.0 29.832882295712643 0.04918946739026544 0.1528052452491855 0.07678357752964614 0.0 0.0 0.0 0.0 0.0 0.721221709830903
